condition,damage_frac,seed,bhaya_peak,bhaya_at_recovery,above_law
SCRIPTED,0.1,42,0.027778,0.002967,True
SCRIPTED,0.1,7,0.025,0.003012,True
SCRIPTED,0.1,2315,0.028269,0.002994,True
SCRIPTED,0.3,42,0.053156,0.04142,True
SCRIPTED,0.3,7,0.050505,0.042042,True
SCRIPTED,0.3,2315,0.057239,0.035821,True
SCRIPTED,0.5,42,0.054313,0.038462,True
SCRIPTED,0.5,7,0.058252,0.048048,True
SCRIPTED,0.5,2315,0.061489,0.047761,True
SCRIPTED,0.7,42,0.052795,0.047337,True
SCRIPTED,0.7,7,0.05625,0.051051,True
SCRIPTED,0.7,2315,0.059375,0.032836,True
VOLTAGE_DRIVEN,0.1,42,0.027491,0.008902,True
VOLTAGE_DRIVEN,0.1,7,0.024823,0.015015,True
VOLTAGE_DRIVEN,0.1,2315,0.027972,0.0,True
VOLTAGE_DRIVEN,0.3,42,0.05298,0.02071,True
VOLTAGE_DRIVEN,0.3,7,0.050336,0.012012,True
VOLTAGE_DRIVEN,0.3,2315,0.056856,0.01194,True
VOLTAGE_DRIVEN,0.5,42,0.054313,0.023669,True
VOLTAGE_DRIVEN,0.5,7,0.058252,0.03003,True
VOLTAGE_DRIVEN,0.5,2315,0.061489,0.023881,True
VOLTAGE_DRIVEN,0.7,42,0.052795,0.035503,True
VOLTAGE_DRIVEN,0.7,7,0.05625,0.051051,True
VOLTAGE_DRIVEN,0.7,2315,0.059375,0.047761,True
FIXED_TOPOLOGY_BASELINE,0.1,42,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.1,7,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.1,2315,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.3,42,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.3,7,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.3,2315,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.5,42,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.5,7,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.5,2315,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.7,42,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.7,7,0.0,0.0,False
FIXED_TOPOLOGY_BASELINE,0.7,2315,0.0,0.0,False
